Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
95000.0,2.0,1696.0,9.0,9.0,1966.0,56.0,34.0,8.0,Дружби Народів,Печерський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
99800.0,3.0,1535.0,6.0,8.0,1962.0,65.0,37.0,14.0,Дружби Народів,Печерський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
35000.0,2.0,778.0,1.0,2.0,2009.0,45.0,37.0,14.0,Кримська,Голосіївський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
63000.0,2.0,969.0,4.0,25.0,2009.0,65.0,31.0,13.0,Новопольова,Солом'янський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
70000.0,2.0,1006.0,23.0,25.0,2009.0,69.0,37.0,14.0,Новопольова,Солом'янський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
57000.0,2.0,919.0,2.0,25.0,2009.0,62.0,45.0,14.0,Новопольова,Солом'янський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,37.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
135000.0,2.0,2523.0,28.0,34.0,2018.0,69.0,37.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
90900.0,1.0,1748.0,14.0,36.0,2009.0,52.0,37.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
91260.0,1.0,1738.0,29.0,36.0,2009.0,69.0,17.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
86000.0,1.0,1654.0,8.0,36.0,2009.0,52.0,19.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
95000.0,3.0,1118.0,2.0,15.0,2019.0,85.0,47.0,13.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
302200.0,4.0,2001.0,5.0,22.0,2013.0,151.0,37.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
113261.0,2.0,1421.0,9.0,36.0,1961.0,69.0,37.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
80000.0,2.0,1250.0,11.0,16.0,2009.0,64.0,35.0,16.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
